1 1 5   3.99997499585E-003  2.99999812980E-002  0.00000000000E+000  5.05000000000E+002
1 1 695   3.50002503419E-003  2.96260400762E-002  0.00000000000E+000  5.05000005774E+002
1 1 695   3.49997502589E-003  2.96260084493E-002  0.00000000000E+000  5.05000005774E+002
1 1 696   3.00002505777E-003  2.93675801438E-002  0.00000000000E+000  5.05000021706E+002
1 1 696   2.99997504947E-003  2.93675570162E-002  0.00000000000E+000  5.05000021706E+002
1 1 697   2.50002503613E-003  2.91635560973E-002  0.00000000000E+000  5.05000038764E+002
1 1 697   2.49997502783E-003  2.91635381115E-002  0.00000000000E+000  5.05000038764E+002
1 1 698   2.00002500415E-003  2.90079177596E-002  0.00000000000E+000  5.05000053837E+002
1 1 698   1.99997499585E-003  2.90079040151E-002  0.00000000000E+000  5.05000053837E+002
1 1 699   1.50002497217E-003  2.88887071379E-002  0.00000000000E+000  5.05000067589E+002
1 1 699   1.49997496387E-003  2.88886969821E-002  0.00000000000E+000  5.05000067589E+002
1 1 700   1.00002495053E-003  2.88048320414E-002  0.00000000000E+000  5.05000077092E+002
1 1 700   9.99974942236E-004  2.88048252326E-002  0.00000000000E+000  5.05000077092E+002
1 1 701   5.00024974104E-004  2.87525503176E-002  0.00000000000E+000  5.05000084554E+002
1 1 701   4.99974965810E-004  2.87525466930E-002  0.00000000000E+000  5.05000084554E+002
1 1 23   2.50041469809E-008  2.87323486153E-002  0.00000000000E+000  5.05000093033E+002
