1 1 8   5.00000000000E-003  1.00000000000E-002  0.00000000000E+000  5.05000000000E+002
1 1 900   4.74999998324E-003  1.00000000000E-002  0.00000000000E+000  5.05021000474E+002
1 1 901   4.24999998613E-003  1.00000000000E-002  0.00000000000E+000  5.05041940470E+002
1 1 891   4.49999996648E-003  1.00000000000E-002  0.00000000000E+000  5.05033238854E+002
1 1 902   3.75000002061E-003  1.00000000000E-002  0.00000000000E+000  5.05055634841E+002
1 1 892   4.00000000579E-003  1.00000000000E-002  0.00000000000E+000  5.05049287053E+002
1 1 903   3.25000003095E-003  1.00000000000E-002  0.00000000000E+000  5.05066078113E+002
1 1 893   3.50000003543E-003  1.00000000000E-002  0.00000000000E+000  5.05061182026E+002
1 1 904   2.75000001324E-003  1.00000000000E-002  0.00000000000E+000  5.05074275266E+002
1 1 894   3.00000002648E-003  1.00000000000E-002  0.00000000000E+000  5.05070422508E+002
1 1 905   2.24999998676E-003  1.00000000000E-002  0.00000000000E+000  5.05080697874E+002
1 1 895   2.50000000000E-003  1.00000000000E-002  0.00000000000E+000  5.05077688340E+002
1 1 906   1.74999996905E-003  1.00000000000E-002  0.00000000000E+000  5.05085615094E+002
1 1 896   1.99999997352E-003  1.00000000000E-002  0.00000000000E+000  5.05083332698E+002
1 1 907   1.24999997939E-003  1.00000000000E-002  0.00000000000E+000  5.05089192401E+002
1 1 897   1.49999996457E-003  1.00000000000E-002  0.00000000000E+000  5.05087564155E+002
1 1 908   7.50000013866E-004  1.00000000000E-002  0.00000000000E+000  5.05091529837E+002
1 1 898   9.99999994210E-004  1.00000000000E-002  0.00000000000E+000  5.05090511939E+002
1 1 909   2.50000016762E-004  1.00000000000E-002  0.00000000000E+000  5.05092684541E+002
1 1 899   5.00000033523E-004  1.00000000000E-002  0.00000000000E+000  5.05092252575E+002
1 1 22   0.00000000000E+000  1.00000000000E-002  0.00000000000E+000  5.05092828403E+002
1 2 10995   6.00000000000E-003  1.29501232712E-002  0.00000000000E+000  5.03871775090E+002
1 2 10996   6.00000000000E-003  1.25987917909E-002  0.00000000000E+000  5.03998722708E+002
